     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=systemctl compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=xauth compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Command value=xterm compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Command compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=DocType value=Explanation compile=False
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=DocType value=How-to guide compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=DocType value=Reference compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=DocType compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=EnvVar value=$DISPLAY compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=EnvVar compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filename value=journald.conf compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filename value=journald.conf.back compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filename value=sshd_config compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Filename compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filesystem value=/etc compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filesystem value=/etc/ssh compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filesystem value=/etc/systemd compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filesystem value=/var compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filesystem value=/var/log compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Filesystem value=/var/log/journal compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Filesystem compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=OS value=Linux compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=OS value=Windows compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=OS compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Priority value=Normal compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Priority compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Product value=KB4IT compile=False
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Product value=MobaXterm compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Product value=OpenSSH compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Product value=Putty compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Product value=Systemd compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Product value=Xming compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Product compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Protocol value=SSH compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Protocol value=X11 compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Protocol compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Scope value=Unix Administration compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Scope compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Service value=sshd compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Service compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Status value=Released compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Status compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=clear compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=client compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=display compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=forwarding compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=github-pages compile=False
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=graphical compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=log compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=message compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=remote compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=secure compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=unit compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Tag value=vacuum compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Tag compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Team value=Unix compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Team compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Topic value=Administration compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Topic value=Configuration compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Topic value=Connectivity compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Topic value=Housekeeping compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Topic value=Monitoring compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Topic value=Troubleshooting compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Topic compile=True
     DEBUG |  339 | Processor       | [PROCESSOR] KV key=Website value=linuxhandbook.com compile=True
     DEBUG |  342 | Processor       | [PROCESSOR] KEY key=Website compile=True
     DEBUG |  347 | Backend         | [BACKEND] ANALYSIS_END
     DEBUG |  348 | Backend         | [BACKEND] TRANSFORMATION_START
     DEBUG |  353 | Processor       | [PROCESSOR] TRANSFORM_START
     DEBUG |  151 | Theme           | [BUILDER] TEMPLATE_CANDIDATE_FOUND path=/home/runner/.local/share/uv/tools/kb4it/lib/python3.14/site-packages/kb4it/resources/themes/techdoc/templates/PAGE_KEY.tpl
